[68fe0a1200000000040038a3|美食展示|ctr1=0.0924|imp=1125] [标题]时岁织锦 沁润芳华 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a8ef47b000000001f007245|美食展示|ctr1=0.1123|imp=1719] [标题]8月28小红书市集秋上新｜必入酒款推荐 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a47682b0000000008030990|美食展示|ctr1=0.1067|imp=2944] [标题]我感觉我对于Chaumes园有迷之喜爱 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[67a1d0e400000000180133fe|美食展示|ctr1=0.1312|imp=1296] [标题]好奇吴裕泰茉莉龙珠入水展开后样子！ | [封面美学]中 | [封面清晰度]低 | [封面质量]低
[68ced2d00000000013014698|美食展示|ctr1=0.0943|imp=1549] [标题]三个老板又来拼腿了 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[68e1037e0000000003023d55|美食展示|ctr1=0.0880|imp=1329] [标题]你好，腰果！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a902a860000000026004080|美食展示|ctr1=0.0903|imp=4708] [标题]湖蜜  |  香气馥郁，如蜜似兰 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[66e75b4e0000000012010244|美食展示|ctr1=0.1250|imp=1304] [标题]不会选香槟？那就直接选一支酒标带年份的‼️ | [封面美学]低 | [封面清晰度]中 | [封面质量]高
[6a64d302000000000503a8ea|美食展示|ctr1=0.0875|imp=1966] [标题]晒红的香气，是一种不需要点燃的香氛🕯️ | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[6a918e74000000002903d0b4|美食展示|ctr1=0.0853|imp=2262] [标题]可以闭眼送人的茶礼❗️ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a81954a000000002500dcbe|美食展示|ctr1=0.0793|imp=7595] [标题]七夕特惠！！1000+喝唐·培里侬！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a671e330000000001032024|美食展示|ctr1=0.1068|imp=1685] [标题]天呐！一瓶价得两瓶：奔富行货407+博纳佰馥 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[692be813000000001e0277c1|美食其他|ctr1=0.2096|imp=18845] [标题]火爆全网的一根猪！鼻祖做活动了！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a719d4a00000000270209d1|美食其他|ctr1=0.1438|imp=1585] [标题]帮老大哥处理一批货 | [封面美学]中 | [封面清晰度]低 | [封面质量]中
[6a72a72d000000002c0002cf|美食其他|ctr1=0.1387|imp=2012] [标题]帮老大哥处理一点库存 | [封面美学]中 | [封面清晰度]低 | [封面质量]中
[699712ce000000000a02c715|美食其他|ctr1=0.1863|imp=1122] [标题]✨猫茶的常见问题合集✨ | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[67051ee6000000002c014c87|美食其他|ctr1=0.1397|imp=1553] [标题]AME寻味云南｜我们入驻小红书开店啦🌳🌾 | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[686bd853000000000d026c7c|美食测评|ctr1=0.0778|imp=40861] [标题]🌾不愧是“米中爱马仕”，一口沦陷！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[69ccd467000000001b003118|美食测评|ctr1=0.0733|imp=1105] [标题]星月女神Bernard Bonin默尔索一级园夏姆白 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a4518090000000006021101|美食测评|ctr1=0.0739|imp=1326] [标题]500r喝到最经典的肥美默尔索村级的质感 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a79727a0000000025002c85|美食测评|ctr1=0.0771|imp=1765] [标题]勃艮第弓箭脸Arnaud Ente默尔索老藤琥珀园 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a800d5c0000000025007cfd|美食测评|ctr1=0.0754|imp=4736] [标题]勃艮第大地主｜今年中国的份额都在这里 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6867a8480000000017031550|美食测评|ctr1=0.1061|imp=9352] [标题]韩要强坚果开箱测评！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a900c01000000001e017ee9|美食测评|ctr1=0.1127|imp=1322] [标题]500r｜勃艮第白葡萄酒选酒不迷茫 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a6085b9000000001102c1bd|美食测评|ctr1=0.0889|imp=4838] [标题]测评｜很挑人，但这家的酒我是真喝不厌 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[695f6fbf000000002103c53e|美食测评|ctr1=0.0873|imp=1351] [标题]最成功的消费降级！！小农香槟教科书！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[69185e9c000000000d036a0b|美食测评|ctr1=0.1971|imp=1157] [标题]Demi-田园小瓶尝鲜套装｜一个人的微醺小酒 | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[6954ed1d000000001e036e3c|美食测评|ctr1=0.0757|imp=1758] [标题]纯甜豆沙感，无仓味超干净的六堡茶终于来了！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a5f819e000000000f030ee1|美食测评|ctr1=0.0786|imp=1514] [标题]PM家的默尔索村级和默尔索坦桑园差别在哪？ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[68c978b60000000013036a79|美食测评|ctr1=0.0858|imp=1794] [标题]818肯豆龙舌兰！我们送的比官方店还要好❗️ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a797d4d0000000028030c91|美食测评|ctr1=0.0736|imp=1508] [标题]说好戒酒的，直到这瓶威士忌递到我的嘴边 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a54b2fc000000000800013e|美食测评|ctr1=0.0866|imp=1109] [标题]击败双鸡、拉芳的霞多丽来了！300+全世界抢 | [封面美学]中 | [封面清晰度]低 | [封面质量]中
[6a0715a800000000350202e5|美食测评|ctr1=0.0776|imp=1083] [标题]可以让你闭眼入的糯叽叽糯香普洱~😻 | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[688347aa00000000170351eb|美食展示|ctr1=0.0766|imp=42398] [标题]超值套组价，不愿让任何人错过这三款好酒！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[69842dcd000000000b00a23d|美食展示|ctr1=0.1621|imp=56724] [标题]感谢家人们🙏，2.2W单啦！！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[68a1454b000000001d036a35|美食展示|ctr1=0.1295|imp=72697] [标题]上海国际饭店蝴蝶酥支持线上邮寄啦~ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
