[6a7c30940000000022033b96|美食展示|ctr1=0.0416|imp=11063] [标题]你错过了它｜就错过了一整个Guyon | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a0edda0000000003502e612|美食展示|ctr1=0.0520|imp=1135] [标题]打败马赛多，走上啸鹰局，这款梅洛凭啥？ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a422ca90000000011006e3a|美食展示|ctr1=0.0378|imp=1297] [标题]拿过100满分，花小钱买西班牙干白大酒 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a5f2628000000001003fa5f|美食展示|ctr1=0.0346|imp=1793] [标题]勃艮第名庄佛手，香气飘飘，C罗都在喝！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a6d68d10000000035014d7e|美食展示|ctr1=0.0301|imp=1397] [标题]小Coche-Dury下凡，百元档竟能喝到大名家？ | [封面美学]中 | [封面清晰度]低 | [封面质量]中
[67f644fb000000001c031562|美食展示|ctr1=0.0173|imp=1096] [标题]🙏Jai Guru Deva，好久不见 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a69dfe70000000006012fbd|美食展示|ctr1=0.0438|imp=1737] [标题]398喝默尔索传奇平替科奇！新品补货到！ | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a82e62e00000000320315d7|美食展示|ctr1=0.0313|imp=9002] [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a4f6f2500000000160261c4|美食展示|ctr1=0.0513|imp=1073] [标题]单丛茶的天花板，内行人公认的霸主！ | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a5f0e81000000000f004960|美食展示|ctr1=0.0478|imp=3181] [标题]买莲子送绿豆，小红书的活动可让我赶上了 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6868e238000000000b01ffb0|美食展示|ctr1=0.0371|imp=1994] [标题]80年代香港回流易武古树生普沱茶250g | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[67fe090c000000000d015cc9|美食展示|ctr1=0.0113|imp=4262] [标题]低温烘焙混合坚果 原色原味 每天一把全营养 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a3c955600000000150262c3|美食其他|ctr1=0.0439|imp=10302] [标题]是时候抄底了，波尔多右岸柏菲比国外还便宜 | [封面美学]中 | [封面清晰度]低 | [封面质量]中
[6a478a48000000000f017d40|美食其他|ctr1=0.0447|imp=4160] [标题]600多喝滴金同门，复购率超高波尔多老甜酒 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
[6a7c5c7500000000260361b5|美食其他|ctr1=0.0385|imp=5980] [标题]喝酒尽头意大利红标巴罗洛，提升酒柜高级感 | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[6a44e0bb0000000021016071|美食其他|ctr1=0.0436|imp=5799] [标题]👑收藏级VIP K 票｜喜欢麦卡伦的酒友看过来～ | [封面美学]低 | [封面清晰度]中 | [封面质量]中
[6a5f4df20000000011019358|美食其他|ctr1=0.0294|imp=2350] [标题]科技新贵口粮酒，我去酒庄两次把价格打下来 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[6a32a4a2000000002003bdb5|美食测评|ctr1=0.0253|imp=37144] [标题]统治我夏天冰箱的3瓶干白！断货王就是断货王 | [封面美学]中 | [封面清晰度]中 | [封面质量]中
[680386fe000000001c00c003|美食测评|ctr1=0.0143|imp=23346] [标题]卖了1w瓶‼️终于来意大利斯巴琳娜酒庄喝酒了 | [封面美学]中 | [封面清晰度]中 | [封面质量]高
