note_id,seller_id,seller_name,goods_id,bridge_type,total_imp,total_clk,total_gv,total_buy,total_dgmv,gpm,ctr1_pct,good_click_quality_score,low_bad_market_score,model_sincerity_score,model_sincerity_level,creation_level,aigc_score,first_img_aesthetic_level,first_img_beauty_level,first_img_quality_level,first_img_definition_level,note_unfriendly_score,neg_emotion_score,spam_level,audit_level,ces_score_td,fans_num,publish_days,tob_b_level_30d,tob_seller_period_level,cover_url,note_quality_level,purchase_intent_score,rk_low_bad,rk_good_click,rk_sincerity,algo_quality_rank,tier,rn_in_tier,title,content_snip,asr_snip,note_type,image_num,taxonomy1,taxonomy2,taxonomy3,duration,is_multi_goods_note,goods_name,goods_price,brand_name,goods_cat3,top_cmts
69b10a7c0000000022023e5b,64426227f59230000155ca11,疆进酒少庄主精选葡萄酒的店,68c134b3721a4700010b4721,goods_seller,203084,1491,4980,577,104151.93000000002,512.8514801756909,0.73417896043017,0.680091,0.82958,41.33094787597656,中,B,0.35582,中,中,中,中,0.09797019809749627,0.21352313167259787,正常,2,5409.0,102918,95,B4,稳定期,http://sns-img-qn.xhscdn.com/1040g00831tiilk2cme005o0ejrg08vqft4t1038?imageView2/2/w/540/format/jpg/q/75,1,0.89208984375,0.10680401995174874,0.4929103207376819,0.2095377647528973,0.2697507018141093,爆款,1,飞9000公里去西班牙🇪🇸，就为了这口橘子酒,"巨好喝！特浓郁的爆汁儿橘子香气
	
7度的橘子气泡小甜酒，喝起来美滋滋没压力！
	
未成年人请勿饮酒
	
#好酒推荐[话题]# #小红书市集春上新[话题]# #起泡酒[话题]# #塔伦家橘子酒[话题]# #今夜来一杯微醺酒[话题]# #橘子脑袋[话题]# #春日微醺[话题]# ",为了这口橘子酒，我飞了9000多公里到西班牙，我直接给背回来了两瓶，我们整个公司尝完了以后马上进口。真的太好喝了，真的，我跟你们讲，我觉得它现在不够冰，我准备一会儿再加点冰块儿，你知道什么叫清清亮透心凉的那种感觉吗？这真的就是它直接打破了我对果酒的印象，它里边就是50%的橘子汁，然后呢再加50%的葡萄酒。再加一点点二氧化碳，就属于那种带一点点气的那种果实酒。它完全里边没有加糖，也没有加香精，你喝到的它就是正正经经的那种橘子汁，带来那种甜感。非常的天然，特别的舒服，这瓶橘子酒，我前两天在欧洲的机场看到14欧这酒我们直接从欧洲给你海运过来了，此时此刻给你。包邮到家上门的这种比欧洲还要再便宜，我们就进了这么一小批，它断货了以后我估计得有两三个月才能补上货。,2,1,美食,美食测评,饮品测评,53.0,0,塔伦家 日落橘子海 爆汁橘子起泡酒  整颗橘子鲜榨~莫斯卡托 西班牙进口 1瓶,151.0,塔伦家,露酒/果酒,
69511a710000000021033987,65826e17c98601000168e592,以味坊健康日记的店,693ed2f669110000019ca120,goods_seller,299959,12234,10106,898,58445.91000000001,194.84632899829646,4.07855740284506,0.704712,0.909368,38.548118591308594,中,B,0.058373,中,低,中,中,0.07777221282651904,0.2426470588235294,正常,2,18650.0,31947,168,B5,稳定期,http://sns-img-qn.xhscdn.com/1040g2sg31qkshrnj7gl05nhu55b09feegj67cjg?imageView2/2/w/540/format/jpg/q/75,1,0.955078125,0.7229474712490565,0.3493924189275195,0.24198155795331763,0.43810714937663114,爆款,2,感谢10w+姐妹的认可🙏改良版纳豆好评超多,非常感谢大家对改良版纳豆的喜欢，很多顾客说咱们家纳豆改变了他们的刻板印象，而且纳豆吃了一段时间变化很惊喜，新手友好的不臭不苦的纳豆，噗噗不畅快友好！管理期友好，健身人必备，大鱼大肉重饮食的朋友必备，我们不做低价压缩品质，大家吃纳豆就是吃他的活性成分，第一次推荐大家拌蜂蜜吃拌酒酿更好接受，咱们的辣白菜配上纳豆拌饭老炫了～谢谢大家对我们的关注和支持！#纳豆[话题]# #健康零食[话题]# #无麸质[话题]# #吃出健康[话题]# #养生食补进行时[话题]# #低脂低卡[话题]# #益生菌[话题]# #肠道菌群[话题]# #五谷杂粮[话题]# #在小红书轻养生[话题]#,四年前真的没有一个人看好我要去做改良版国产鲜辣豆这件事情，更不会有人相信用更符合中国胃口的辣豆去开辟一个赛道。那时候市面上大多数的那豆都是日本进口冷冻，那豆路程远到手菌种都失活了，还又臭又苦，更别提他们用陈豆烂豆以次冲好。本来就是咱们老祖宗传下来的食养智慧，所以我准备自己做，做好了就从工厂发新鲜的给大家，为了让纳豆不臭不苦。光卷重的研发就大有讲究，我们用最笨的方法一遍遍调试发酵工艺。才能做出这种只有大豆清香活性成分和味道都完美平衡的鲜辣豆，我还记得第一个火的视频，就是告诉大家我们那豆鸡没含量。远超日本，国产那豆真的一点儿不比日本的差，那同时我也收到了很多否定和质疑，总有人觉得国产那豆无论是品。质还是价格就天生不如日本，但我从不那么认为，吃过我们家谢娜诺的顾客都成了我们的回。同课，后来我也慢慢接到了全国各地，港澳台乃至世界更多的订单不断，总销量一度卖到10万加，都是买给父母吃的，还有一些妈妈。放心给自己孩子吃，品质不会打折，不会选低价品，只选发酵食物的健康功效。,2,1,美食,美食展示,普通美食展示,73.0,0,以味坊 【顺丰发货】高活性菌种发酵国产纳豆高品质益生菌纳豆激酶 3盒黄豆+3黑豆+1枇杷蜂蜜（新手友好）,49.9,以味坊,UNKNOWN,
6a0d79870000000035028c2f,6948f1676c3d9b00159b810f,玉珍食记的店,6979b38bf5bc340001b11b19,goods_seller,339665,43141,20008,1402,65408.759999999995,192.56844243592948,12.70104367538604,0.798951,0.905965,55.617671966552734,高,B,0.07003,低,低,中,中,0.04765748528740074,0.035443037974683546,正常,4,13118.0,16753,25,B4,成长期,http://sns-img-qn.xhscdn.com/notes_pre_post/1040g3k0320cqp4vm5e2g5osu2tnpi5hujqb6ttg?imageView2/2/w/540/format/jpg/q/75,2,0.330322265625,0.6712031733345174,0.03472314728475645,0.09235084291698119,0.26609238784541833,爆款,3,【玉珍】⚠️购买须知,"链接已经有啦 ‼️‼️
📣购买前请一定一定先看看‼️购买须知‼️贮存方法
☝️星期五早上10点上架直接购买哦❗️ 
库存充足 不用囤货
请确认好购买商品和地址再下单哦❗️
拍错发货前可退单重拍既可❗️
希望大家都能美美在家吃玉珍❗️
爱你们爱你们爱你们💗
	
#玉珍食记[话题]# #在家吃玉珍[话题]#
#玉珍酸笋火锅[话题]# #玉珍酸汤火锅[话题]#",,1,5,社科,科学科普,生活科普,,1,玉珍【酸笋】酸汤组合,48.0,UNKNOWN,调味品/果酱/沙拉,
6a0c1931000000003503ad29,645c5f55625b5b0001b3af1d,一斤半酒铺的店,694a44f3110a7f00019ebf57,goods_seller,360318,4506,6318,263,63091.8,175.10032804356152,1.25056200356352,0.691301,0.877279,78.32904815673828,高,B,0.050823,中,中,中,中,,,正常,2,5755.0,183127,26,B4,稳定期,http://sns-img-qn.xhscdn.com/1040g2sg320cr6qtslme05nlb73dg8cvnjpp2i5o?imageView2/2/w/540/format/jpg/q/75,2,0.95068359375,0.3459585868004677,0.42377484717966935,0.0157926675843287,0.2618420338548219,爆款,4,一瓶奶酒怎么能好喝成这样？液体白色恋人..,"终于赶在520之前，爱尔兰白巧奶油酒到货了
这瓶用料真的很扎实
爱尔兰单一麦芽威士忌+农场的优质奶源+高规格比利时白巧
完全液体白色恋人来的！
-
一些我自己试下来很喜欢的宝藏喝法，推荐给大家：
🥥 首推加椰子水！简直惊为天人，冰丝丝的清甜椰子糖
☕ 加在咖啡或者可可里，美式秒变微醺拿铁（哄自己上班必备
🍃 加抹茶就是超好喝的微醺「三倍厚抹」
🍧 我还试着用它代替炼乳在家做了微醺版抹茶星冰乐，朋友们都好评
🧊 当然，最高级的食材往往只需要最简单的烹饪方式，可以直接加冰喝～
-
最开心的是那天看到一条评论
有朋友分享说这支是她在爱尔兰研学时，和男朋友的定情酒
“一起在学校公寓的公共客厅，一边听音乐一边喝，可以记很久的经历”
读到的时候我又去冰箱里拿了点加在咖啡里
毕竟酒有时候只是杯中物
一起喝的人，那些难忘的温暖浪漫的瞬间
这些才更值得干杯～
祝大家520快乐啦！
#喝酒日常[话题]# #微醺时刻[话题]# #今夜来一杯微醺酒[话题]# #调酒[话题]# #家庭调酒[话题]# #威士忌[话题]# #奶酒[话题]#",喜欢喝奶的，喜欢巧克力的，喜欢喝酒的一瓶三合一，这是我断货了整整两个月的爱尔兰白巧奶油酒，终于被我们催到了。天呐，这个流出来就是融化的大白兔奶糖啊，我们后台其实一直会收到大家的评论和私信，问我们这瓶到底什么时候补货。因为它真的是太特别太好喝了，它就是有点像你把那个白色恋人泡在牛奶里面，最后加一点酒香，没有任何人可以拒绝这一口爱尔兰单一码。四季打底，非常新鲜的当地农场的牛奶，还有最重要的就是超高规格的比例式，白巧又甜又奶，但是又凶凶的。不要特别凶啊，16度，而之前还有个评论很有意思，就有朋友给我留言说这瓶酒是他去爱尔兰研学的时候。和她现在男朋友的定情酒，希望喝到这瓶酒的大家都能有甜甜的恋爱，非常适合上班偷偷加进冰美式，然后睡前偷偷加进热牛奶，所有人如果你有这瓶酒。一定一定加椰子水和椰子水的清甜完全冲淡了那种很浓郁的质感，轻盈活泼起来了，这次我们也是给大家。配套了一个小礼袋，这样送人也很方便，最近还从评论区学了另外一个做法，就是某茶三倍厚抹微熏版加抹茶。茶这个喝法我直呼天才，就任何牛奶可以出现的地方它都可以替代，又有甜味又有酒香，不知道大家有什么其他好玩的喝法，欢迎分享给我，这次到货也很少。夸张到我们这次补货其实有进那个小酒板已经卖完了，我就感觉每次我视频发出来的时候，到的货又快要没了，那我们干杯下回见。,2,1,美食,美食测评,饮品测评,83.0,0,TABB 【晚安奶酒合集】店铺奶酒销量TOP1微醺小奶瓶×白色恋人×椰林飘香 【醉新到货！金奖白巧奶酒】爱尔兰库尔天鹅奶油酒（含礼袋）26.3,369.0,TABB,其他酒,
69fbf4d30000000020039c7f,659d244a60b4ac00010229ee,杯中兽小酒铺的店,67296ebb181935000111c1fd,goods_seller,522409,27111,6924,328,83200.55,159.2632401049752,5.18961197069729,0.652966,0.885757,97.59153747558594,高,B,0.264101,中,中,中,中,,,正常,2,2320.0,36182,38,B4,稳定期,http://sns-img-qn.xhscdn.com/1040g00831vrnd8sv2a005okv07a6sr64kouh2ro?imageView2/2/w/540/format/jpg/q/75,2,0.798828125,0.42529194973580214,0.6822151177419593,0.0007770525287509436,0.3694280400021708,爆款,5,在新西兰航空商务舱喝了一路，回家买了一箱,"灰皮诺是果香+花香
霞多丽是果香+奶香
实在难以抉择
	
未成年人禁止饮酒
#白葡萄酒[话题]# #干白[话题]# #白葡萄酒推荐[话题]# #适合女生喝的酒[话题]#  #头等舱[话题]# #商务舱[话题]# #初夏饮品攻略[话题]# #米其林[话题]# #好入口的酒[话题]# #新西兰[话题]# 
	
",一周喝了一瓶两瓶三瓶四瓶，不愧是新西兰航空的豪华商务舱用酒，第一次在飞机上喝到好惊艳，它唯一。它的缺点就是太便宜了，都说一分价钱一分货，那它就是一分价钱十分火，它有两支不同的口味，灰匹诺和夏多利。威匹诺超多的花香，茉莉花，栀子花，铃兰花，还有一点点佛手。干入口像一杯冰镇的鲜榨雪梨汁，蜜桃和柑橘在嘴里疯狂爆汁，尾调是。伯爵乌龙茶的清香霞多丽是黄桃加菠萝果香一起炸开。紧接着是香草冰淇淋加奶油的香气，喝到第三杯第四杯的时候，烤面包杏仁的香气会慢慢的出来。每年都被高级餐厅和新西兰航空早早预定，在全球酒鬼聚集地video上好评如潮，新西兰。被权威的两个葡萄酒大赛都拿了金奖，最难能可贵的是当环保和可持续发展，在消费市场被反复拿来做噱头，它是几十年来真正。一直在践行systemability的酒庄，他们有一个湿地项目保护酒庄周围的本地野生动物使用太阳能酿造葡萄酒。瓶子全都是可回收玻璃，甚至连酒标都是甘蔗制成的，这种长期主义的责任感，让消费者能够更加信任它的出品。建议大家灰皮诺和霞多利各拍一瓶，尝尝完全不同的风味儿，找到更适合自己的口味儿，尤其最近复购热情高涨，不知道什么时候就断货啦。,2,1,美食,美食测评,饮品测评,85.0,0,others 菠萝冰淇淋格芙美Grovemill霞多丽/灰皮诺/长相思干白 霞多丽,258.0,others,葡萄酒,
6a15636c000000003701e929,62a03d8914b93b000180a12d,锋味派旗舰店,69c9e593fcd43f0001911745,goods_seller,1075459,58770,19357,1483,153521.73,142.74996071444843,5.46464346850972,0.682298,0.88789,21.13106346130371,中,B,0.193196,中,中,高,中,0.07933255930298141,0.19642857142857142,正常,2,5982.0,363900,17,B6,稳定期,http://sns-img-qn.xhscdn.com/spectrum/1040g34o320kihso86o005o1ngntgblnkqmuvs20?imageView2/2/w/540/format/jpg/q/75,1,0.358154296875,0.448581324097509,0.4789307757204387,0.45324363927001465,0.4602519130293208,爆款,6,谢霆锋自律食谱大公开‼️独家诀窍分享,"谢霆锋演唱会期间经常搭配这个吃？真的巨好吃，试了就知道！
#锋味派[话题]# #锋味派高品质更放心[话题]# #虾饼[话题]# #锋味派虾饼[话题]# #自律饮食[话题]# #干净饮食[话题]# #运动健身[话题]# #自律[话题]# #宅家美食[话题]#",最近演唱会期间呢，除了经常吃高蛋白以外呢，有一个东西我经常搭配的就是黎麦的虾饼，煎的时候一滴油都不需要放。健身期间也非常适合。我要是把热量做得这么低，你们肯定不敢相信，风味派真的做到了，新品梨麦虾饼。下单就有上新优惠，包邮到手三盒，你看看才多少钱，85%的虾肉加百分之六三色零。弥漫优质蛋白的同时，满满的膳食纤维，鲜嫩多汁，还有谷物香，比那清淡寡味的水煮菜强多。关键还是零脂肪，拿它当晚饭真的很不错，趁活动还在，姐妹们赶紧冲。,2,1,美食,美食教程,菜品教程,36.0,0,锋味派 虾饼虾仁空气炸锅食材早餐半成品果蔬虾肉制品 【新口味】藜麦二盒装,109.0,锋味派,UNKNOWN,
69e59e4a000000001f0075e8,5a260bb077e3082948679c69,养瑞和旗舰店,6711d47f56c6a60001c93d89,goods_seller,494488,16228,5473,809,66555.4,134.59457054569575,3.28177832424649,0.738567,0.902212,24.458223342895508,中,B,0.059986,中,中,高,中,,,正常,2,10969.0,22958,55,B6,稳定期,http://sns-img-qn.xhscdn.com/1040g2sg31v5t0ubjiq7g45hegc4vila43voge0o?imageView2/2/w/540/format/jpg/q/75,1,0.431640625,0.6204357414561225,0.19069609105575536,0.41394698281603837,0.4083596051093054,爆款,7,"春夏交替30天焕新计划：喝出红光
满面","投资这30天，舒舒服服过夏天
#松子核桃姜茶[话题]# #姜茶就要十分暖[话题]# #节气养生[话题]# #冬吃萝卜夏吃姜[话题]# #在小红书轻养生[话题]# #自制神仙饮品[话题]# #台州美食[话题]# #健康养生小零食[话题]# #美貌的尽头是养生[话题]# #养瑞和[话题]# ",马上就要迎来立夏了，我妈总说冬吃萝卜夏吃姜，千万不要错过接下来的30天。想要为一整年的健康打下基础，这罐在台州传承了几代人的松子核桃姜茶，它不仅是茶。更是一道凝聚了智慧的古方食补，春夏吃姜不单是为了暖身子，更是为了对付空调和冷饮的寒，很多人一吃姜就上火。这罐姜茶的秘诀就在于老师傅用铁锅柴火慢炒，把生姜换成暖氧力道更足的云南小黄姜，保留姜皮。去除姜燥，保留温通之力，做到真正的暖而不燥，每天早上只要花上一分钟不用开火。一颗鸡蛋搅散后，用热水冲成蛋花，加上两勺松子核桃姜茶，搅拌均匀就可以了。除此之外还添加了五种能量满满的坚果，松子，核桃，腰果，花生和黑芝麻，这一碗下肚整个人都是暖乎乎的。投资这30天，舒舒服服过夏天，更能换来一整年的温暖红润。,2,1,医疗健康,养生食疗,,64.0,0,养瑞和 松子核桃姜茶老姜汤花生核桃腰果健康营养坚果冲饮姜母茶250g 1罐体验装经典版（立减10元）,79.0,养瑞和,代用/花草/水果/再加工茶,
6a1e60330000000022009537,65098134f13b150001070dcf,修哲 SHOWZE的店,67c144ff4a593600016d9a59,goods_seller,667744,25250,21776,836,78052.79000000007,116.89029029089001,3.78138927493171,0.719069,0.909736,65.80403900146484,高,B,0.238162,中,中,中,中,,,正常,2,3331.0,36385,12,B4,稳定期,http://sns-img-qn.xhscdn.com/1040g2sg320tbet7dnke04a1fs4pqal4i5n6ftv0?imageView2/2/w/540/format/jpg/q/75,1,0.352294921875,0.7285052469546941,0.27663810073560974,0.041487204535026564,0.34887685074177677,爆款,8,我们打算卖掉修哲🥹以后可能喝不到修哲茶了,#茶叶[话题]# #冷泡茶[话题]# #台湾[话题]# #乌龙茶[话题]# #红茶[话题]# #喝水[话题]# #直播[话题]# #美食解构主理人[话题]# #收购[话题]# #泡茶[话题]# ,我们打算卖掉修哲了，以后可能喝不到修哲茶了，原因是我不想做了。您看我都70多岁了，人家都退休在家抱孙子了。但这孩子我是很支持的，茶叶亏本也给了，他说要送什么我也很支持，但实际的成果唉。用的方法也比较笨，自己呢又当主播又当运营，又拍摄又剪辑又设计产品。把团队的钱省下来，就是因为呢，如果把钱花在这些上面。那你产品呢就要压缩品质，那这些年积累的口碑也就没了，在我的手上呢，我还是希望想保证大家喝到好茶。但是卖了的话我就不知道了，如果确实呢有实力的想买这个十多年的老品牌也可以联系。呃，不过你们觉得我们应该卖给别人还是呢坚持也可以评论区给点建议，因为呢我们自己还有两千300亩的茶园。还是需要先送掉这些好不好？希望呢先有这个荣幸让你们去试试我们的茶叶，因为我面前这四袋其中三袋价值300多。是额外送给新粉的，每个新粉呢都只能拍一单，享受12次的一个试喝，好不好？像这个洞顶乌龙我给你看一下。在其他平台你看一下这么多的销量，这么多的好评，这么多人花100多，你不用花100多。省下100多对吧，蜜香妃子下午再送给你，省下两百多对不对？还有这个沉香蜜韵的老乌龙，你去任何一个平台你看看。是不是这个价格？是不是这个克数，送你三袋你就能省下300多了，到手还有奶香金轩四袋，你就能喝上两个月。那大家也都知道我们修则全网做了十多年了，一直以来都是一个好的口碑，慢慢积累到今天，那我们也是把这个团队的费用省下来的。才有这个荣幸给到大家，希望你们到手觉得不错，也多多支持一下我们好不好？谢谢大家，谢谢。,2,1,美食,美食测评,饮品测评,125.0,0,修哲 拍一送三  奶香金萱【赠品】果香冻顶+蜜香妃子笑+10年老乌龙 50g*4袋（奶香+果香+蜜香+十年老乌龙）,118.0,修哲,乌龙茶,
69f71f7e0000000035020287,64f57047a5c63e000149558c,新疆尼勒克黑蜂蜂蜜的店,6976f1a53d52b20001b67c6e,goods_seller,1195040,38097,14575,845,116784.38000000002,97.7242435399652,3.18792676395769,0.732848,0.905322,49.57783126831055,高,B,0.185983,中,低,中,中,,,正常,2,7601.0,67803,42,B6,稳定期,http://sns-img-qn.xhscdn.com/1040g00831vn000i3kc005nikfbu087h7ls0s20o?imageView2/2/w/540/format/jpg/q/75,2,0.95947265625,0.6622633690037446,0.21370424640705712,0.12787324423131002,0.3346136198807039,爆款,9,卖了1.7w单的无花果干被差评！我很开心,"无花果干我都没想到能被差评！
但凡吃过的应该都会觉得好吃啊！巨香糯！
没有添加剂！不是蜜饯！无花果味超香！
看到这个差评其实我还挺开心的！
这不就是我家和电商货的差距嘛…
#无花果干[话题]# #无花果[话题]# #新疆无花果干[话题]# #无花果自由[话题]# #无花果迷[话题]# #无花果干推荐[话题]# #果干[话题]# #果干推荐[话题]# #无糖果干[话题]# 
	

",实在没想到就是这个差评，我能想到是给这个袋子丑或者是怎么样的，它不能因为无花果干给我一个差评。无花果干它为什么叫无花果干？我之前一直科普的是就是大家买那种。呃，球状的不是这种炸开口的，我说一定要吃炸开口的，因为它在树上是长爆了长裂开的那种无花果。它的甜度和营养价值还有它的口感才好，才无花果味儿才浓，终于把大家的这个消费的这个观念慢慢的更正。之后又说我家无花果干太干了，我们在订货的时候人家厂子老板都有跟我说，他说。电商产品你可以不用做的那么干，因为顾客摸不到，但是我家做的不是那种，我需要弄很多流量进来，新客户来买啊。我们家百分之七八十都是老顾客在买，我让他做的湿一点儿，我蜂蜜谁还买呀，没人买了，所以我这个无花果干的干度。跟没法儿说，树上直接树上弄得巨干无比，之后在厂子里边儿还要再风干两天才能出货，所以我们家无花果干就是干。但是干度好是为了商家好还是为了大家好，如果干度很干很干的话。那我们是不是一公斤就要多给大家装进去个一二十颗，如果湿的话我们是不是稍微会少装一点，所以到底是谁在吃亏谁吃亏。但是你说干度，你说口感吧，看。梗就梗就糯糯的，里边的籽儿你看。多好吃啊。格莱斯的无花果干，那女生吃的宝贝呀，天然的黄体酮养雌的多好呀。太干了哦，再离谱点。我们家的无花果干里边没有果蜜，有的顾客或者你在那种别的直播间里边打开那种无花果干，商家跟你说。打开的果蜜我们家特别特别多，你去看它的执行标准是蜜饯，我们这个是啥东西，执行标准是。初级农产品，农产品就是不能有添加加工，任何啥都没有，它不是蜜件，所以你吃起来它的甜度就来自于这个果子。长熟了它的甜，所以我感觉这种无花果干它就很挑人群，就是你必须卖给这些真的它要那天然的，然后不要添加的，或者让自己小朋友吃的。就这种顾客，我感觉他能认出来这是好东西，超级香超级香的，你看。嗯，巨糯你要是真的要百分之100的天然的那种果干，自己吃的。这个格莱斯的无花果干,2,1,美食,美食测评,零食测评,160.0,0,【无花果干】无硫熏｜无腌糖｜开口 500g格莱斯紫心（有点少哦）,158.0,UNKNOWN,蜜饯/枣类/梅/果干/冻干,
69f84e5c000000001f003e8f,5a260bb077e3082948679c69,养瑞和旗舰店,6711d47f56c6a60001c93d89,goods_seller,1536097,99269,12871,1690,137439.56000000003,89.4732298806651,6.46241741244205,0.738993,0.918544,24.458223342895508,中,B,0.053209,中,中,高,中,,,正常,2,9985.0,22958,41,B6,稳定期,http://sns-img-qn.xhscdn.com/1040g2sg31vo5orv82ie045hegc4vila4pmmhopg?imageView2/2/w/540/format/jpg/q/75,1,0.09814453125,0.866783594570993,0.1891123839971582,0.41394698281603837,0.4899476537947298,爆款,10,台州经典｜立夏到三伏，每天一碗姜茶冲蛋,"“冬吃萝卜夏吃姜”，从立夏开始，到三伏结束，是吃姜最好的几十天。不用逼自己，每天一碗姜茶蛋花汤，喝着喝着你就真的爱上了也舒畅了。
#松子核桃姜茶[话题]# #红糖姜茶[话题]# #立夏[话题]# #养生日常[话题]# #姜枣茶[话题]# #春季养生[话题]# #节气养生[话题]# #三伏天[话题]# #美貌的尽头是养生[话题]# #台州美食[话题]# #鸡蛋茶[话题]#",冬吃萝卜夏吃姜，从立夏开始到三伏结束是吃姜最好的几十天，不用逼自己，每天一碗姜茶蛋花汤。喝着喝着你就真的爱上了，也舒畅了，台州的松子核桃姜茶是当地传了好几代人的宝贝，老师傅说。炒姜茶急不得，火大了会糊，火小了不够香，火后差一点都不行，一锅下去至少三个小时守在灶前。炒出来的姜丝不呛不冲，炒出来的红糖清甜不腻，打开盖子那股锅气香是流水线做不出来的。最简单的吃法，一颗鸡蛋搅散，沸水冲成蛋花，加两勺姜茶，一分钟搞定，蛋花嫩滑，坚果香脆。有时间的可以煮小圆子，拌酸奶，抹面包，拌藕粉，怎么吃都行，怎么吃都暖，从立夏吃到三伏。把夏天欠的寒，用夏天的暖还回去。,2,1,美食,美食教程,饮品教程,60.0,0,养瑞和 松子核桃姜茶老姜汤花生核桃腰果健康营养坚果冲饮姜母茶250g 1罐体验装经典版（立减10元）,79.0,养瑞和,代用/花草/水果/再加工茶,
